step,q1,q2,q3,cv,ch,mse,log_mse,mae,log_mae,xopt_runtime,xopt_error,run,best_mae
19,-10.834844162950448,-30.0,-30.0,-0.006,-0.006,0.00043413654202595353,-7.742151260375977,0.014859276823699474,-4.209130764007568,0.0027389999995648395,0.0,0.0,0.0005577479023486376
20,11.696414094876426,-4.912458880811705,-30.0,0.006,0.006,6.768792445654981e-06,-11.90318775177002,0.0026016789488494396,-5.951598167419434,0.00290080000195303,0.0,0.0,0.0005577479023486376
21,-12.272804561458303,14.135897396726827,-30.0,0.006,0.006,3.786048409892828e-06,-12.484188079833984,0.001486622728407383,-6.511248588562012,0.0064056000010168646,0.0,0.0,0.0005577479023486376
22,-13.254935721373512,13.327042449267708,30.0,0.006,-0.006,8.691785296832677e-06,-11.653132438659668,0.002932323142886162,-5.831960201263428,0.003327599999465747,0.0,0.0,0.0005577479023486376
23,-4.607725530227229,3.5621335668286895,-30.0,0.006,0.006,1.3022799976170063e-05,-11.248808860778809,0.0029913289472460747,-5.812037467956543,0.00264949999836972,0.0,0.0,0.0005577479023486376
24,-14.093043542903551,17.97205247770443,24.176925765049972,-0.006,0.0030620450141565143,8.468062333122361e-06,-11.679208755493164,0.00286300596781075,-5.8558831214904785,0.002662300001247786,0.0,0.0,0.0005577479023486376
25,12.496535606642846,-12.935850642987887,-30.0,0.006,-0.006,6.743774065398611e-06,-11.906890869140625,0.0025965499226003885,-5.953571796417236,0.002704899998207111,0.0,0.0,0.0005577479023486376
26,-10.410517311659582,30.0,14.545930680897195,0.006,-0.001282257381358523,5.269917437544791e-06,-12.153495788574219,0.0020783026702702045,-6.176203727722168,0.003187800000887364,0.0,0.0,0.0005577479023486376
27,19.161181303533567,30.0,30.0,0.006,-0.006,0.0008516666712239385,-7.068315505981445,0.020855670794844627,-3.870129346847534,0.0033455000011599623,0.0,0.0,0.0005577479023486376
28,30.0,30.0,-30.0,-0.006,0.006,2.5462493795203045e-05,-10.578304290771484,0.005015135742723942,-5.295294761657715,0.003353899999638088,0.0,0.0,0.0005577479023486376
29,11.127701849211132,-30.0,-2.9923471782287687,0.006,0.006,7.560803169326391e-06,-11.792532920837402,0.002183646662160754,-6.126759052276611,0.0026894000002357643,0.0,0.0,0.0005577479023486376
30,-6.2669957758016555,16.72513876847867,-6.276520166070024,0.006,0.006,7.562358632640098e-07,-14.0949125289917,0.0008663594489917159,-7.051210880279541,0.0025375999975949526,0.0,0.0,0.0005577479023486376
